Train [4][1000/2502]	Time 0.371 (0.374)	Data 0.001 (0.001)	Loss 3.5141 (3.6867)	Top-1 acc 39.844 (36.750)	Top-5 acc 67.188 (61.921)	lr 0.13598
Train [4][1100/2502]	Time 0.370 (0.374)	Data 0.001 (0.001)	Loss 3.5669 (3.6805)	Top-1 acc 39.844 (36.870)	Top-5 acc 65.430 (62.047)	lr 0.13758
Train [4][1200/2502]	Time 0.371 (0.374)	Data 0.001 (0.001)	Loss 3.6689 (3.6748)	Top-1 acc 40.430 (36.975)	Top-5 acc 65.234 (62.159)	lr 0.13918
Train [4][1300/2502]	Time 0.378 (0.374)	Data 0.001 (0.001)	Loss 3.6654 (3.6679)	Top-1 acc 36.523 (37.124)	Top-5 acc 63.086 (62.314)	lr 0.14078
Train [4][1400/2502]	Time 0.373 (0.374)	Data 0.001 (0.001)	Loss 3.5417 (3.6617)	Top-1 acc 38.086 (37.235)	Top-5 acc 66.992 (62.439)	lr 0.14237
Train [4][1500/2502]	Time 0.386 (0.374)	Data 0.001 (0.001)	Loss 3.4940 (3.6550)	Top-1 acc 44.531 (37.376)	Top-5 acc 64.648 (62.585)	lr 0.14397
Train [4][1600/2502]	Time 0.373 (0.374)	Data 0.001 (0.001)	Loss 3.5171 (3.6482)	Top-1 acc 41.406 (37.509)	Top-5 acc 65.625 (62.728)	lr 0.14557
Train [4][1700/2502]	Time 0.374 (0.374)	Data 0.001 (0.001)	Loss 3.5963 (3.6420)	Top-1 acc 40.234 (37.632)	Top-5 acc 65.625 (62.858)	lr 0.14717
Train [4][1800/2502]	Time 0.368 (0.374)	Data 0.001 (0.001)	Loss 3.4285 (3.6357)	Top-1 acc 41.016 (37.765)	Top-5 acc 67.188 (62.992)	lr 0.14877
Train [4][1900/2502]	Time 0.371 (0.374)	Data 0.001 (0.001)	Loss 3.5353 (3.6292)	Top-1 acc 39.258 (37.901)	Top-5 acc 66.602 (63.125)	lr 0.15036
Train [4][2000/2502]	Time 0.373 (0.374)	Data 0.001 (0.001)	Loss 3.6553 (3.6238)	Top-1 acc 37.500 (38.011)	Top-5 acc 62.891 (63.242)	lr 0.15196
Train [4][2100/2502]	Time 0.369 (0.374)	Data 0.001 (0.001)	Loss 3.4813 (3.6175)	Top-1 acc 38.867 (38.144)	Top-5 acc 66.797 (63.368)	lr 0.15356
Train [4][2200/2502]	Time 0.374 (0.374)	Data 0.001 (0.001)	Loss 3.4519 (3.6122)	Top-1 acc 41.406 (38.253)	Top-5 acc 67.383 (63.464)	lr 0.15516
Train [4][2300/2502]	Time 0.370 (0.374)	Data 0.001 (0.001)	Loss 3.5378 (3.6059)	Top-1 acc 39.648 (38.383)	Top-5 acc 65.039 (63.599)	lr 0.15676
Train [4][2400/2502]	Time 0.371 (0.374)	Data 0.001 (0.001)	Loss 3.5627 (3.6001)	Top-1 acc 39.258 (38.496)	Top-5 acc 65.039 (63.714)	lr 0.15835
Train [4][2500/2502]	Time 0.370 (0.374)	Data 0.001 (0.001)	Loss 3.4669 (3.5945)	Top-1 acc 43.164 (38.607)	Top-5 acc 64.648 (63.831)	lr 0.15995
Train [4][2502/2502]	Time 0.383 (0.374)	Data 0.001 (0.001)	Loss 3.5165 (3.5944)	Top-1 acc 40.820 (38.610)	Top-5 acc 68.359 (63.835)	lr 0.15998
==========Valid [4/120]	loss 2.786	top-1 acc 41.148 (41.148)	top-5 acc 67.208	Train top-1 38.610	top-5 63.835
Train [5][0/2502]	Time 0.464 (0.464)	Data 0.001 (0.001)	Loss 3.4214 (3.4214)	Top-1 acc 43.945 (43.945)	Top-5 acc 69.141 (69.141)	lr 0.16000
Train [5][100/2502]	Time 0.376 (0.374)	Data 0.001 (0.001)	Loss 3.4119 (3.4374)	Top-1 acc 41.797 (41.917)	Top-5 acc 70.117 (67.060)	lr 0.16160
Train [5][200/2502]	Time 0.370 (0.373)	Data 0.001 (0.001)	Loss 3.6084 (3.4435)	Top-1 acc 36.914 (41.688)	Top-5 acc 64.648 (66.816)	lr 0.16320
Train [5][300/2502]	Time 0.370 (0.373)	Data 0.001 (0.001)	Loss 3.5637 (3.4376)	Top-1 acc 40.430 (41.742)	Top-5 acc 65.234 (66.985)	lr 0.16479
Train [5][400/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 3.3255 (3.4376)	Top-1 acc 45.117 (41.768)	Top-5 acc 70.898 (67.023)	lr 0.16639
Train [5][500/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 3.2831 (3.4334)	Top-1 acc 42.383 (41.884)	Top-5 acc 71.094 (67.115)	lr 0.16799
Train [5][600/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 3.3966 (3.4275)	Top-1 acc 42.578 (41.991)	Top-5 acc 66.211 (67.260)	lr 0.16959
Train [5][700/2502]	Time 0.378 (0.373)	Data 0.001 (0.001)	Loss 3.4000 (3.4232)	Top-1 acc 43.555 (42.067)	Top-5 acc 68.164 (67.333)	lr 0.17119
Train [5][800/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 3.4972 (3.4204)	Top-1 acc 41.797 (42.115)	Top-5 acc 67.773 (67.400)	lr 0.17278
Train [5][900/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 3.2931 (3.4162)	Top-1 acc 46.680 (42.210)	Top-5 acc 69.336 (67.482)	lr 0.17438
Train [5][1000/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 3.3557 (3.4129)	Top-1 acc 44.531 (42.297)	Top-5 acc 68.945 (67.560)	lr 0.17598
Train [5][1100/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 3.4505 (3.4101)	Top-1 acc 44.531 (42.363)	Top-5 acc 69.336 (67.594)	lr 0.17758
