Train [9][1200/1251]	Time 0.512 (0.530)	Data 0.001 (0.001)	Loss 2.6140 (2.7013)	Top-1 acc 60.156 (58.145)	Top-5 acc 83.105 (80.739)	lr 0.39560
Train [9][1251/1251]	Time 0.123 (0.529)	Data 0.001 (0.001)	Loss 2.5898 (2.7006)	Top-1 acc 61.607 (58.164)	Top-5 acc 81.845 (80.755)	lr 0.39556
==========Valid [9/120]	loss 2.323	top-1 acc 50.528 (50.528)	top-5 acc 75.290	Train top-1 58.164	top-5 80.755
Train [10][0/1251]	Time 0.516 (0.516)	Data 0.001 (0.001)	Loss 2.7054 (2.7054)	Top-1 acc 59.180 (59.180)	Top-5 acc 80.176 (80.176)	lr 0.39556
Train [10][100/1251]	Time 0.500 (0.516)	Data 0.002 (0.002)	Loss 2.7046 (2.7053)	Top-1 acc 59.473 (57.982)	Top-5 acc 80.176 (80.747)	lr 0.39547
Train [10][200/1251]	Time 0.523 (0.520)	Data 0.001 (0.002)	Loss 2.6706 (2.7011)	Top-1 acc 60.645 (58.097)	Top-5 acc 80.078 (80.688)	lr 0.39538
Train [10][300/1251]	Time 0.538 (0.520)	Data 0.001 (0.002)	Loss 2.6455 (2.6962)	Top-1 acc 59.668 (58.229)	Top-5 acc 80.957 (80.818)	lr 0.39529
Train [10][400/1251]	Time 0.525 (0.521)	Data 0.001 (0.002)	Loss 2.6810 (2.6943)	Top-1 acc 58.594 (58.238)	Top-5 acc 81.641 (80.865)	lr 0.39520
Train [10][500/1251]	Time 0.522 (0.522)	Data 0.002 (0.002)	Loss 2.5936 (2.6915)	Top-1 acc 59.473 (58.309)	Top-5 acc 84.180 (80.926)	lr 0.39510
Train [10][600/1251]	Time 0.524 (0.522)	Data 0.002 (0.002)	Loss 2.6592 (2.6904)	Top-1 acc 59.082 (58.342)	Top-5 acc 81.348 (80.935)	lr 0.39501
Train [10][700/1251]	Time 0.520 (0.523)	Data 0.001 (0.002)	Loss 2.7150 (2.6864)	Top-1 acc 58.301 (58.450)	Top-5 acc 80.371 (81.010)	lr 0.39492
Train [10][800/1251]	Time 0.512 (0.524)	Data 0.001 (0.002)	Loss 2.7165 (2.6850)	Top-1 acc 57.129 (58.487)	Top-5 acc 80.469 (81.029)	lr 0.39482
Train [10][900/1251]	Time 0.535 (0.525)	Data 0.001 (0.002)	Loss 2.5127 (2.6826)	Top-1 acc 62.988 (58.545)	Top-5 acc 83.301 (81.064)	lr 0.39473
Train [10][1000/1251]	Time 0.520 (0.525)	Data 0.001 (0.002)	Loss 2.7089 (2.6803)	Top-1 acc 57.324 (58.598)	Top-5 acc 81.543 (81.102)	lr 0.39463
