Train [8][0/1251]	Time 0.506 (0.506)	Data 0.001 (0.001)	Loss 3.0878 (3.0878)	Top-1 acc 48.340 (48.340)	Top-5 acc 74.512 (74.512)	lr 0.39943
Train [8][100/1251]	Time 0.334 (0.363)	Data 0.001 (0.009)	Loss 2.9156 (3.0176)	Top-1 acc 52.832 (51.254)	Top-5 acc 77.441 (75.243)	lr 0.39941
Train [8][200/1251]	Time 0.337 (0.352)	Data 0.001 (0.007)	Loss 2.9157 (3.0057)	Top-1 acc 52.441 (51.532)	Top-5 acc 77.930 (75.461)	lr 0.39940
Train [8][300/1251]	Time 0.314 (0.352)	Data 0.001 (0.005)	Loss 2.9980 (3.0037)	Top-1 acc 52.930 (51.526)	Top-5 acc 75.781 (75.480)	lr 0.39938
Train [8][400/1251]	Time 0.325 (0.351)	Data 0.001 (0.004)	Loss 2.9787 (3.0005)	Top-1 acc 53.027 (51.589)	Top-5 acc 76.562 (75.510)	lr 0.39936
Train [8][500/1251]	Time 0.318 (0.350)	Data 0.002 (0.004)	Loss 2.9806 (2.9980)	Top-1 acc 52.637 (51.655)	Top-5 acc 76.270 (75.566)	lr 0.39935
Train [8][600/1251]	Time 0.317 (0.350)	Data 0.002 (0.003)	Loss 3.0119 (2.9970)	Top-1 acc 50.488 (51.712)	Top-5 acc 74.512 (75.581)	lr 0.39933
Train [8][700/1251]	Time 0.464 (0.350)	Data 0.002 (0.003)	Loss 2.9998 (2.9945)	Top-1 acc 50.879 (51.780)	Top-5 acc 76.074 (75.626)	lr 0.39932
Train [8][800/1251]	Time 0.366 (0.351)	Data 0.001 (0.003)	Loss 3.0885 (2.9934)	Top-1 acc 48.438 (51.783)	Top-5 acc 74.902 (75.653)	lr 0.39930
Train [8][900/1251]	Time 0.332 (0.350)	Data 0.001 (0.003)	Loss 3.0347 (2.9911)	Top-1 acc 51.270 (51.834)	Top-5 acc 74.023 (75.705)	lr 0.39928
Train [8][1000/1251]	Time 0.328 (0.350)	Data 0.001 (0.003)	Loss 2.9966 (2.9899)	Top-1 acc 52.637 (51.868)	Top-5 acc 75.098 (75.723)	lr 0.39926
Train [8][1100/1251]	Time 0.341 (0.349)	Data 0.001 (0.003)	Loss 2.9538 (2.9894)	Top-1 acc 50.684 (51.868)	Top-5 acc 77.051 (75.727)	lr 0.39925
Train [8][1200/1251]	Time 0.328 (0.349)	Data 0.001 (0.002)	Loss 2.9135 (2.9874)	Top-1 acc 53.809 (51.915)	Top-5 acc 76.953 (75.772)	lr 0.39923
Train [8][1251/1251]	Time 0.127 (0.349)	Data 0.001 (0.002)	Loss 2.7808 (2.9870)	Top-1 acc 55.913 (51.920)	Top-5 acc 77.579 (75.774)	lr 0.39922
==========Valid [8/250]	loss 2.472	top-1 acc 46.830 (49.610)	top-5 acc 72.824	Train top-1 51.920	top-5 75.774
Train [9][0/1251]	Time 0.316 (0.316)	Data 0.001 (0.001)	Loss 2.9959 (2.9959)	Top-1 acc 52.832 (52.832)	Top-5 acc 75.684 (75.684)	lr 0.39922
Train [9][100/1251]	Time 0.338 (0.342)	Data 0.001 (0.002)	Loss 3.0677 (2.9815)	Top-1 acc 50.586 (51.973)	Top-5 acc 72.461 (75.861)	lr 0.39920
Train [9][200/1251]	Time 0.485 (0.370)	Data 0.001 (0.010)	Loss 2.9889 (2.9743)	Top-1 acc 52.832 (52.203)	Top-5 acc 75.684 (76.013)	lr 0.39918
Train [9][300/1251]	Time 0.340 (0.375)	Data 0.001 (0.014)	Loss 3.0527 (2.9716)	Top-1 acc 49.414 (52.286)	Top-5 acc 74.512 (76.065)	lr 0.39917
Train [9][400/1251]	Time 0.336 (0.382)	Data 0.002 (0.023)	Loss 2.9837 (2.9676)	Top-1 acc 52.148 (52.302)	Top-5 acc 75.684 (76.122)	lr 0.39915
Train [9][500/1251]	Time 0.327 (0.380)	Data 0.002 (0.019)	Loss 2.8899 (2.9656)	Top-1 acc 52.148 (52.322)	Top-5 acc 78.125 (76.155)	lr 0.39913
Train [9][600/1251]	Time 0.334 (0.373)	Data 0.001 (0.016)	Loss 3.0062 (2.9648)	Top-1 acc 52.539 (52.366)	Top-5 acc 76.367 (76.164)	lr 0.39911
Train [9][700/1251]	Time 0.339 (0.369)	Data 0.001 (0.014)	Loss 2.9412 (2.9629)	Top-1 acc 53.125 (52.396)	Top-5 acc 77.734 (76.186)	lr 0.39909
Train [9][800/1251]	Time 0.363 (0.366)	Data 0.001 (0.013)	Loss 3.0497 (2.9614)	Top-1 acc 51.465 (52.426)	Top-5 acc 75.195 (76.212)	lr 0.39907
Train [9][900/1251]	Time 0.338 (0.363)	Data 0.001 (0.012)	Loss 2.9580 (2.9594)	Top-1 acc 52.148 (52.469)	Top-5 acc 76.855 (76.254)	lr 0.39905
Train [9][1000/1251]	Time 0.327 (0.361)	Data 0.002 (0.011)	Loss 2.9405 (2.9588)	Top-1 acc 53.613 (52.494)	Top-5 acc 75.684 (76.260)	lr 0.39903
Train [9][1100/1251]	Time 0.329 (0.360)	Data 0.002 (0.010)	Loss 2.8930 (2.9582)	Top-1 acc 52.637 (52.509)	Top-5 acc 77.246 (76.268)	lr 0.39901
Train [9][1200/1251]	Time 0.371 (0.359)	Data 0.001 (0.009)	Loss 2.8623 (2.9569)	Top-1 acc 54.492 (52.547)	Top-5 acc 77.637 (76.296)	lr 0.39899
Train [9][1251/1251]	Time 0.131 (0.358)	Data 0.001 (0.009)	Loss 2.7566 (2.9565)	Top-1 acc 62.262 (52.557)	Top-5 acc 79.742 (76.304)	lr 0.39898
==========Valid [9/250]	loss 2.438	top-1 acc 47.284 (49.610)	top-5 acc 72.994	Train top-1 52.557	top-5 76.304
Train [10][0/1251]	Time 0.330 (0.330)	Data 0.001 (0.001)	Loss 2.9899 (2.9899)	Top-1 acc 52.148 (52.148)	Top-5 acc 75.977 (75.977)	lr 0.39898
Train [10][100/1251]	Time 0.336 (0.370)	Data 0.001 (0.012)	Loss 2.9390 (2.9639)	Top-1 acc 52.441 (52.329)	Top-5 acc 76.465 (76.118)	lr 0.39896
Train [10][200/1251]	Time 0.339 (0.375)	Data 0.002 (0.010)	Loss 2.9402 (2.9575)	Top-1 acc 54.980 (52.450)	Top-5 acc 75.879 (76.204)	lr 0.39894
Train [10][300/1251]	Time 0.312 (0.381)	Data 0.017 (0.016)	Loss 2.9237 (2.9539)	Top-1 acc 53.809 (52.579)	Top-5 acc 77.246 (76.327)	lr 0.39892
Train [10][400/1251]	Time 0.329 (0.380)	Data 0.001 (0.014)	Loss 2.9740 (2.9523)	Top-1 acc 52.637 (52.616)	Top-5 acc 76.562 (76.375)	lr 0.39890
Train [10][500/1251]	Time 0.310 (0.380)	Data 0.002 (0.018)	Loss 2.8697 (2.9497)	Top-1 acc 54.199 (52.678)	Top-5 acc 78.125 (76.437)	lr 0.39888
Train [10][600/1251]	Time 0.313 (0.377)	Data 0.002 (0.019)	Loss 2.9143 (2.9490)	Top-1 acc 52.637 (52.689)	Top-5 acc 78.809 (76.445)	lr 0.39886
Train [10][700/1251]	Time 0.322 (0.375)	Data 0.002 (0.019)	Loss 2.9046 (2.9451)	Top-1 acc 54.102 (52.795)	Top-5 acc 77.246 (76.506)	lr 0.39883
Train [10][800/1251]	Time 0.335 (0.371)	Data 0.001 (0.017)	Loss 3.0096 (2.9436)	Top-1 acc 51.562 (52.829)	Top-5 acc 74.902 (76.558)	lr 0.39881
Train [10][900/1251]	Time 0.323 (0.368)	Data 0.001 (0.015)	Loss 2.7684 (2.9410)	Top-1 acc 57.031 (52.878)	Top-5 acc 78.809 (76.600)	lr 0.39879
Train [10][1000/1251]	Time 0.321 (0.366)	Data 0.001 (0.014)	Loss 2.9441 (2.9393)	Top-1 acc 54.492 (52.916)	Top-5 acc 76.270 (76.624)	lr 0.39877
